language,reference,prediction,corrected
sei,"tacs pac ihpoomjc, zixquisiil caaamam ticom cohsamcaatxi haa hi.",danke für das video. ich wünsche ihnen viel spaß und guten tag.,danke für a! video. ih wünsche iteen siml apa an guten taa.
sei,hapaspoj hanoocaj ihyaa coi hapaspoj cöhacoaatim quih ano yaii cap contihyoozi.,"apazpoch anukkah hiyakuy, apazpoch va guatim ki anu yayi kapkundiyoshi.","apazpoch anukkah hiyakuy, apazpoch aa guatim ai an yaai kapkundiyoshi."
sei,hastixp hast coiimaj cöyamtxö.,ឍ្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្�,ឍ្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្�
sei,"icoos queejim zo hpaai, mimoz ma hsameetot haa hi.",इस्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�,इस्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
sei,hameen tahac ziix quih iic cöhiqueepe quih zaah quih miitxo.,אמרן דק שיך גיבג שעג ימיד חו.,אמרן a! שיך גיבג שעג ימיד ha.
sei,haas quih cacooi quih pac iime.,"asche, c'ha coi che pacchiamme!","asche, caha coi he pacchiamme!"
sei,hamaax quih isaroocot aha.,ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი �,z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z
sei,"icaaspolca coi hax ptino yafin caha, hax zo haa xah toom ma, hmexl.",ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�,ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�
sei,canoaa com cömihaai hac minzaai cohmizj.,con mi ah ya mi ensay con,coi ai ah aa ai ensay coi
sei,"hantx moma tax, zixcám quih yootxo xo cmaax ox tompacta ho.",āngkha mō mādakh shikam gi yōt chōku mā chōch tōm bak tāu.,āngkha ma mādakh shikam ai it chōku ma chōch tom a! taa.
sei,"zixquisiil quih oyacj quih ititjö ma, yeenj.",ḍ្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្�,ḍ្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្�
sei,"haaco zo htyaa, mos canoaa zo hnyaa.","ako, schottia, muskanua, schotnia.","ano schottia, muskanua, schotnia."
sei,¿siip ticop haptco timas?,slip stitch of up to the last stitch,siip stitch oo a! ito he hast stitch
sei,saa ha tamoz ihiha áa xac.,סעת המושי אי אחת,סעת המושי a! אחת
sei,zaah hipcap hoocala cösaanim caha.,sa ip ko ok sa ksandim ka,aa ih oo oo aa ksandim aa
sei,"eenm an icaaspoj ihyaa cah hiti tpaso ma, he tiix cösaasot caha.",en mä nii käs puhjaaka ittiit vasuma et tiiik saas soittaa.,an ma ai cos puhjaaka imiit vasuma ee hiiix haas soittaa.
sei,¡cöihiihat quih hino camx!,kui et ki inou kam.,ai ee ai inol aamo
sei,cohsahita haa hi.,こっそいったーあい,こっそいったーあい
sei,hehe hascám quij hesen coi cöihahasjoj imiiix.,ḍᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃ�,ḍᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃ�
sei,¿zímjöc pti tihiicx?,שמוק טיפי עיג,שמוק טיפי עיג
sei,zo?,shoo!,hoox
sei,¡hiza hiizc!,isä isk.,is iha.
sei,"hant an icocoho ihapooin quih hanso toalali ma, cohyopooin.",anta ni ko ko ay apoy ngi ang sotuan lalima ko yopoy.,antá ai oo oo a! ano ai an sotuan lalima oo yoop.
sei,tiix sahoocj ca teeme.,תכסה עוק כתם מי.,תכסה עוק כתם ha.
sei,"hax ihoopatj cah canoaa com tpamiz ma, hamiixant.",achio-pathika kanuagum pammismah amichanti.,achio-pathika kanuagum pammismah amichanti.
sei,hanso moopol.,"ansoumou, pours.","ansoumou, pours."
sei,"comcaac ctamcö coi haa toii ma, pte itacóyetol, iicp ityai ma, hans ihamoc imqués.",අපි දැන්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න,අපි දැන්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න
sei,matoj coi cömascommimjöc aha.,"mató, cuí, mas conmigo con am.","ma, cuí, ma conmigo coi a!"
sei,ziix xepe an hant coiitim com hapx yajöz.,zich heb je allen goeieding om af juist.,ih he ee allen goeieding com a! juist.
sei,"hap inaail quih itacaaitic, haat ixaai coi ano cöitjiit, iyaheel.",ḍ'ᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ ᶜᵃ �,ḍ'ᵃ a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! a! z
sei,haso quih haa ihaaco quih hoopatj cop hanso iyamápojquim.,ḍ្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្�,ḍ្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្�
sei,"xapoo timoca cöpopeemetx, seesen caha.","חבור תמוגר בו במהטח, שסינגה","חבור תמוגר a! במהטח, שסינגה"
sei,hax cop cahcniiix iha.,"ach, koe, kakneeg, ja.","ah koe, kakneeg, ha."
sei,"trooqui hantx moca quih ihapoiinim quih iti tap ma x, cötahpoiinim ma x, yiisaxim.",ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�,ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�
sei,"hant isiijim quih haacöt pac hant itjeaatim, yoocyo.",an di sihingi aqd bak an di piyadim yogio.,an ai sihingi a! a! an ai piyadim yoiis.
sei,iyonípatim.,ihr nehmt baden.,ih nehmt baden.
sei,"tom icocosot, taax haptco coopot iha.",ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ ḍ �,z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z z
sei,hast ihmeefelim.,اصدیم میفہلیم,اصدیم میفہلیم
sei,"ziix ipxasi cmiipla zo hpoohit ta x, hiiqui saa aha.",je vais y passer.,ee ai z passer.
sei,hant miisaquim ihmiimzo.,and mesa kwa mimshu.,an aasa aa mimshu.
sei,"hap ipxasi quih htahit ma x, hamatj him xaaxit.",ḍ្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្�,ḍ្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្�
sei,"hant cmizj com iti toii, ziix coqueht ptiiqui hant iyamaasilcoj.","y no se puede hacer nada, no se puede hacer nada.","z ano ee puede hac aapa, ano ee puede hac aha."
sei,hisoj ihsaazj haa hi.,this is how he says hi.,hi. is ho. he haas hi.
sei,"ziix hapahit quih anxö me hpaahitim, mazi hsacaapxom aha.",שיחה בעת יענו מה בעתים מה שעשה כה פרונעה,שיחה בעת יענו a! בעתים a! שעשה a! פרונעה
sei,mipac hac hapx cohpsiip aha.,"mais pas à gaffe, c'est pas...","ai pac z gaffe, cmeet pas..."
sei,"xoját hapéc quih hehe z iti mota, coocp iha.",χοχα τα πέκκη έσυτη μοτακόκπια,χοχα a! πέκκη έσυτη μοτακόκπια
sei,"ctam ticop ilít quij iti anxö taa ma, haait quih isoj cap hant cöyoop.",ḍṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭ�,ḍṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭṭ�
sei,"cmiipla ha yax, himo hmiicatx.",כמו הפסעה היח עמו מ-4,כמו הפסעה היח עמו מ-4
sei,hataai imooxi zo hyexl.,atá y imójes o viejos.,antá z imójes oo viejos.
sei,toii nt hizi moozi.,to in is emotion.,ito an is emotion.
sei,zixcám caacoj com hax cöyiin oo.,"сих там как ухком, ах, пьено!","сих там как ухком, ha, пьено!"
sei,cmaax mos icaaitom ihmaa zo he szaxö caha.,con amor y caído en marzo y chájo caa.,coi aamo z caído an maría z chájo caap
sei,quisiil ctam quih poosj cheel ih iyoaaf.,que si es tan que vos que si y yo a y yo a,ee ai ee an ee cos ee ai z oo a! z oo a!
sei,"taax iicp hac itzaxö, ox mee.",դախիք պակ իչահողմ է.,դախիք պակ իչահողմ x.
sei,zaaj hac sahoosit caha.,"שחק, סעוס, סתכת","שחק, סעוס, סתכת"
sei,hapaspoj iquiimot quih cohsaactim aha.,ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�,ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�
sei,"hixiiha quih ctam tiquij hamaax cöitaas, itamozimet ma, hita iisax yoheemt.",ehe a kik tam di kik amakh kuitas ita mozimet ma ita isach yoemt.,ee a! ai ctam ai ai amakh kuitas ata mozimet ma ata ipac yoheemt.
sei,me iicp he caticpan iha.,मैं ही एक अटिक पनिया,मैं a! a! अटिक पनिया
sei,"hax cömooca cap xiica an icaai coi cöpaas ta, cmaax insiisi aha.",ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�,ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�
sei,ziix canaao quih zixquisiil quih ipac iyaao.,ser canal que ser que si es que y paguy a un,ee aal ee ee ee ai ee ee z paguy a! an
sei,he hasoj hin yomqueesnij.,y eso y no,z ano z ano
sei,"zixquisiil tintica hant sahjiit taa ma, caazi tintica iiqui tpanzx, iyexl.",ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�,ḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍḍ�
sei,pedro quih hin yasxeenot.,pedro que ignace enote.,pedro ee ignace enote.
sei,"xiica iti icoiitoj coi tcooo, hehe iti icoohitim com compatjc.",ḍ្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្�,ḍ្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្�
sei,cmaam quij hehe iti icoohitim com cacoxl iha.,ḍwām ḍwām ḍgī ḍāti ḍgōʃ ʿitim ḍgāgōʃ lia.,ḍwām ḍwām ḍgī hiti ḍgōʃ hiti ḍgāgōʃ aha.
sei,¡zixcám cpitol com himo cácatx!,שחקר מקפי תושקום עם מורגקת.,שחקר מקפי תושקום a! מורגקת.
sei,anxö hin yoaal.,ankh inyuaas,ah inyaao
