language,reference,prediction,corrected
ncx,¿kanin nias kala?,කාපින්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්,කාපින්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්න්
ncx,chokotsin okochmiktoka ipan kamion.,"czekocin, ukozmih toka i bankamian.","czekocin, ukozmih itoka , bankamian."
ncx,nochi nin nikmakaskia nikan’ka xolopijtli.,"noc inny kmakaskier, nie kanka szalopichli.","non inny kmakaskier, ne iaxka szalopichli."
ncx,tlen nechchiuiliskej mopanpa.,¡clean el chibuilis que me opampa!,¡clean uel chibuilis ne ma opampa!
ncx,"nimechtlajtlautia, techkauilikan mania.",¡nimete a la chlaptía! ¡echcavulligan! ¡mania!,"¡nimete , ma chlaptía! ¡echcavulligan! mania."
ncx,¿tlen omochi juan yisexiuitl?,"cléna monti-juan, 17 week.","cléna monti-juan, , week."
ncx,¿kox nimotlajtlakolmamaltis?,¿cuál es tu orden?,"¿cuál , te orden?"
ncx,juan melajka yolkuali.,i'll let you wallet,i'll ken kox wallet
ncx,"nimitsiknomati. otimotlajtolnamikiko iuan se yoltetik, nentlakatl non amo yolpia nion teiknomati.",shall we go and sit with you?,"shall ne , amo ik uits poui"
ncx,axkan tlamis nitlatookas.,¿qué más tenemos que ver? ¿cuál es la mapa? ¿cuál es el intonarle?,"¿qué ma tenemos ne ver? ¿cuál , ma kala? ¿cuál , uel intonarle?"
ncx,okachi nechpaktia...,o cachino de pacteia,", cachino ne pacteia"
ncx,ye okijto otikichtekili.,y aquí está el otikich tekili.,", aquí está uel otikich tekiua."
ncx,miak kochi.,"mie, koci.",miak kochi.
ncx,tlakamej okinnauatikej itskuimej amo makikuakan inakayo.,"la que me va a quinar, va a decir que, escuime, amo, me aquí, por acá, y me acá yo.","ma ne ma ma , quinar, ma , decir ne, escuime, amo, ma aquí, hora amo, , ma amo amo."
ncx,sapanoa ixtlamatki maya telpochtli.,"sapa no hay shlamaki, maya telpochtle.","axa ne ma shlamaki, maya telpochtli."
