language,reference,prediction,corrected
sei,"tacs pac ihpoomjc, zixquisiil caaamam ticom cohsamcaatxi haa hi.","tax spac ihpomjc, zixquisiil caa ma ntiicom cohsancaatx ihaa hi.","tax ipac ihyoomjc, zixquisiil aa ma ticom cohsancaatx chaa hi."
sei,hapaspoj hanoocaj ihyaa coi hapaspoj cöhacoaatim quih ano yaii cap contihyoozi.,"hapaspoj hanooccaj iyaacoi, hapaspoj cöhacoaatim quih ano yaiicap contihyoozi.","hapaspoj hanoocaj iyaacoi, hapaspoj cöhacoaat quih ano yaiicap contihyoozi."
sei,hastixp hast coiimaj cöyamtxö.,"hast iixp, hast coiimaj cöyamtxö.",hast iicp hast hsiimaj cöyamtxö.
sei,"icoos queejim zo hpaai, mimoz ma hsameetot haa hi.","icoos queegin zo hpaaiimim moz ma, hsahmeetot haa hi.","icoos queegin zo hpaaiimim imoz ma, hsahmeetot haa hi."
sei,hameen tahac ziix quih iic cöhiqueepe quih zaah quih miitxo.,hameen tahacz iix quih cöiqueepe quih zaah quih hmiitxo.,hatee tahac iic quih cöitqueepe quih zaah quih hmiitxo.
sei,haas quih cacooi quih pac iime.,¡has quih cacooi quih pac kiime!,¡hai quih catooi quih pac hiime.
sei,hamaax quih isaroocot aha.,hamaax quih isaroocot aha.,hamaax quih isaroocot aha.
sei,"icaaspolca coi hax ptino yafin caha, hax zo haa xah toom ma, hmexl.","icaaspolca coi hax tintoyafin caha hax zo haax hatom ma, mexl.","icaaspolca coi hax tintoyafin caha hax zo haa cato ma, imexl."
sei,canoaa com cömihaai hac minzaai cohmizj.,canoaa com cmihaai hac minzaai cohmiizj.,canoaa com cöihaai hac minzaai cohpmiij.
sei,"hantx moma tax, zixcám quih yootxo xo cmaax ox tompacta ho.","hantx moma ta x, ziix cam quih yootxo xo xo cmaax xo xt tompacta oo.","hantx moca ta x, ziix am quih yootax. xo xo cmaax xo it tpacta oo."
sei,"zixquisiil quih oyacj quih ititjö ma, yeenj.","ziix quih siil quij oyacj quih ititjö ma, yeenjc.","ziix quih siih quij oyacj quih ititjö ma, yeec."
sei,"haaco zo htyaa, mos canoaa zo hnyaa.","haaco zo htya, moscanoaa zo hmiyaa.","haaco zo ha, moscanoaa zo hmiya."
sei,¿siip ticop haptco timas?,¿siipty cop haptco timmas?,¿siipty cop haptco timmas?
sei,saa ha tamoz ihiha áa xac.,sahaat amo z iihaax hac.,haat am z iihax hac.
